,restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
918,g1024186-d6839181,The Oystercatcher,"[""Europe"", ""France"", ""Brittany"", ""Ille-et-Vilaine"", ""Saint Marcan""]",France,Brittany,Ille-et-Vilaine,Saint Marcan,"7 le Bourg, 35120 Saint Marcan France",48.588,-1.634103,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 1 Restaurant in Saint Marcan,#1 of 1 places to eat in Saint Marcan,"Cheap Eats, Bar, British, Pub",€,€3-€8,Dinner,"Bar, British, Pub",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Free off-street parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Table Service",Y,N,N,"{""Mon"": [""17:00-20:30""], ""Tue"": [""17:00-20:30""], ""Wed"": [], ""Thu"": [""17:00-20:30""], ""Fri"": [""17:00-20:30""], ""Sat"": [""17:00-20:30""], ""Sun"": [""17:00-20:30""]}",6.0,21.0,6.0,5.0,115.0,English,76.0,67.0,8.0,0.0,1.0,0.0,4.5,5.0,5.0,5.0,"chicken curry, mont saint michel, kevin, beer, accueil"
2328,g1055403-d1059472,La Grand’Vigne,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Martillac""]",France,Nouvelle-Aquitaine,Gironde,Martillac,"Chemin de Smith Haut-Lafitte Les Sources de Caudalie, 33650 Martillac France",44.730804,-0.557221,Claimed,"Travellers' Choice, Michelin 2021 for Two Michelin Stars: Excellent cooking, worth a detour!, Michelin 2021 for Extremely comfortable restaurant.",#1 of 7 Restaurants in Martillac,#1 of 8 places to eat in Martillac,"Fine Dining, French, European, Vegetarian Friendly",€€€€,€75-€130,"Lunch, Dinner","French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""19:00-22:00""], ""Thu"": [""19:00-22:00""], ""Fri"": [""19:00-22:00""], ""Sat"": [""12:00-14:00"", ""19:00-22:00""], ""Sun"": [""12:00-14:00"", ""19:00-22:00""]}",5.0,19.0,7.0,4.5,494.0,English,121.0,84.0,23.0,8.0,4.0,2.0,4.5,4.5,4.0,4.5,"tasting menu, in advance, star restaurant, wonderful experience, a la carte menu"
18106,g1310615-d1776484,L'Auberge du Vieux Château,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""French Riviera - Cote d'Azur"", ""Grasse"", ""Cabris""]",France,Provence-Alpes-Cote d'Azur,French Riviera - Cote d'Azur,Cabris,"Place Mirabeau, 06530 Cabris, Grasse France",43.655304,6.876172,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#1 of 7 Restaurants in Cabris,#1 of 10 places to eat in Cabris,"Fine Dining, French, Mediterranean, European",€€€€,€30-€44,"Lunch, Dinner","French, Mediterranean, European","Vegetarian Friendly, Vegan Options","Seating, Parking Available, Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",Y,Y,N,"{""Mon"": [], ""Tue"": [""07:30-15:00"", ""19:00-23:00""], ""Wed"": [""07:30-23:00""], ""Thu"": [""07:30-23:00""], ""Fri"": [""07:30-15:00"", ""19:00-23:00""], ""Sat"": [""07:30-23:00""], ""Sun"": [""07:30-15:00""]}",6.0,77.0,8.0,4.5,660.0,English,140.0,108.0,22.0,8.0,2.0,0.0,4.5,4.5,4.5,4.5,"parfait, lamb, birthday lunch, superb location, wonderful lunch"
18943,g1378922-d943851,Rajpoute,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Ain"", ""Ornex""]",France,Auvergne-Rhone-Alpes,Ain,Ornex,"1553 rue de Geneve, 01210 Ornex France",46.26389,6.102778,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2013",#1 of 5 Restaurants in Ornex,#1 of 5 places to eat in Ornex,"Mid-range, Indian, Pakistani, Vegetarian Friendly",€€-€€€,€12-€18,"Lunch, Dinner, After-hours","Indian, Pakistani","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""19:00-23:30""], ""Tue"": [""12:00-14:30"", ""19:00-23:30""], ""Wed"": [""12:00-14:30"", ""19:00-23:30""], ""Thu"": [""12:00-14:30"", ""19:00-23:30""], ""Fri"": [""12:00-14:30"", ""19:00-00:00""], ""Sat"": [""12:00-14:30"", ""19:00-00:00""], ""Sun"": [""12:00-15:00"", ""19:00-23:30""]}",7.0,48.0,13.0,4.5,563.0,English,182.0,97.0,52.0,15.0,8.0,10.0,4.5,4.5,4.0,4.0,"bhindi, butter chicken, curries, vindaloo, naan"
20157,g1456920-d2268495,Le Moulin de Varen,"[""Europe"", ""France"", ""Occitanie"", ""Tarn-et-Garonne"", ""Saint-Antonin Noble Val"", ""Varen""]",France,Occitanie,Tarn-et-Garonne,Varen,"Le bourg Le Bourg, 82330 Varen, Saint-Antonin Noble Val France",44.164474,1.900635,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 2 Restaurants in Varen,#1 of 3 places to eat in Varen,"Mid-range, French, Vegetarian Friendly, Vegan Options",€€-€€€,€19-€50,"Lunch, Dinner, Drinks",French,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Parking Available, Highchairs Available, Full Bar, Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Free Wifi",Y,Y,Y,"{""Mon"": [""12:00-14:30"", ""19:00-21:30""], ""Tue"": [""12:00-14:30"", ""19:00-21:30""], ""Wed"": [], ""Thu"": [""12:00-14:30"", ""19:00-21:30""], ""Fri"": [""12:00-14:30"", ""19:00-21:30""], ""Sat"": [""12:00-14:30"", ""19:00-21:30""], ""Sun"": [""12:00-14:30""]}",6.0,27.5,11.0,4.5,315.0,English,113.0,92.0,13.0,7.0,1.0,0.0,4.5,4.5,4.5,4.0,"scallops, nougat, mash, guinea fowl, gazpacho"
27899,g187075-d779021,La corde a linge,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"2 Place Benjamin Zix Au Coeur de La Petite France, au Bord du Canal, 67000, Strasbourg France",48.58129,7.742319,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2013, Certificate of Excellence 2012",#109 of 973 Restaurants in Strasbourg,#143 of 1461 places to eat in Strasbourg,"Mid-range, French, Bar, European",€€-€€€,€20-€70,"Lunch, Dinner, Brunch, After-hours","French, Bar, European","Vegetarian Friendly, Vegan Options","Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Waterfront",Y,Y,N,"{""Mon"": [""10:30-23:00""], ""Tue"": [""10:30-23:00""], ""Wed"": [""10:30-23:00""], ""Thu"": [""10:30-23:00""], ""Fri"": [""10:30-01:00""], ""Sat"": [""10:30-01:00""], ""Sun"": [""10:30-23:00""]}",7.0,91.5,7.0,4.0,3668.0,English,634.0,246.0,283.0,49.0,23.0,33.0,4.0,4.0,3.5,4.0,"meatballs, burger, salad, duck, potatoes"
27942,g187075-d803514,Gavroche,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"4 rue Klein Place d'Austerlitz, Pont du Corbeau, 67000, Strasbourg France",48.5786,7.75295,Claimed,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Comfortable restaurant",#18 of 973 Restaurants in Strasbourg,#22 of 1461 places to eat in Strasbourg,"Fine Dining, French, Contemporary, Vegetarian Friendly",€€€€,€38-€100,"Lunch, Dinner","French, Contemporary",Vegetarian Friendly,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""12:00-13:30"", ""19:30-21:30""], ""Tue"": [""12:00-13:30"", ""19:30-21:30""], ""Wed"": [""12:00-13:30"", ""19:30-21:30""], ""Thu"": [""12:00-13:30"", ""19:30-21:30""], ""Fri"": [""12:00-13:30"", ""19:30-21:30""], ""Sat"": [], ""Sun"": []}",5.0,17.5,10.0,4.5,615.0,English,128.0,101.0,21.0,2.0,2.0,2.0,4.5,4.5,4.5,4.5,"scallops, lemon tart, mise en bouche, course menu, beautiful presentation"
35167,g187116-d1486801,Chez Bruno,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Amboise""]",France,Centre-Val de Loire,Indre-et-Loire,Amboise,"40 Place Michel Debre, 37400, Amboise France",47.412796,0.985734,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012, Certificate of Excellence 2011",#11 of 69 Restaurants in Amboise,#12 of 86 places to eat in Amboise,"Mid-range, French, European, Healthy",€€-€€€,€9-€23,"Lunch, Dinner, After-hours","French, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [], ""Tue"": [""11:00-21:30""], ""Wed"": [""11:00-21:30""], ""Thu"": [""11:00-21:30""], ""Fri"": [""11:00-21:30""], ""Sat"": [""11:00-21:30""], ""Sun"": []}",5.0,52.5,5.0,4.5,1461.0,English,532.0,284.0,192.0,35.0,8.0,13.0,4.5,4.5,4.0,4.0,"lamb chops, great dinner, wines, vineyard, bistro"
37188,g187137-d800413,Le Millenaire,"[""Europe"", ""France"", ""Grand Est"", ""Marne"", ""Reims""]",France,Grand Est,Marne,Reims,"4 Rue Bertin, 51100, Reims France",49.25618,4.034095,Claimed,"Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Very comfortable restaurant",#20 of 374 Restaurants in Reims,#22 of 469 places to eat in Reims,"Fine Dining, French, European, Contemporary",€€€€,€35-€120,"Lunch, Dinner","French, European, Healthy, Contemporary",Vegetarian Friendly,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""12:00-13:30"", ""19:30-21:30""], ""Tue"": [""12:00-13:30"", ""19:30-21:30""], ""Wed"": [""12:00-13:30"", ""19:30-21:30""], ""Thu"": [""12:00-13:30"", ""19:30-21:30""], ""Fri"": [""12:00-13:30"", ""19:30-21:30""], ""Sat"": [""19:30-21:30""], ""Sun"": []}",6.0,19.5,11.0,4.5,970.0,English,233.0,135.0,61.0,23.0,13.0,1.0,4.5,4.5,4.0,4.0,"prawns, risotto, pork, between courses, set menu"
57097,g187151-d1218808,Le Saint Jean,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"1 Place Saint Jean La Cité, 11000 Carcassonne Center, Carcassonne France",43.207672,2.363372,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#37 of 237 Restaurants in Carcassonne Center,#38 of 275 places to eat in Carcassonne Center,"Mid-range, French, Mediterranean, European",€€-€€€,€9-€27,"Drinks, Lunch, Dinner, After-hours","French, Mediterranean, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""00:00-23:59""], ""Tue"": [""00:00-23:59""], ""Wed"": [""00:00-23:59""], ""Thu"": [""00:00-23:59""], ""Fri"": [""00:00-23:59""], ""Sat"": [""00:00-23:59""], ""Sun"": [""00:00-23:59""]}",7.0,167.88333333333333,7.0,4.0,805.0,English,181.0,65.0,58.0,25.0,19.0,14.0,4.0,3.5,3.5,3.5,"salad, cassoulet, steak, old city, within the walls"
